Model,Price,Year,Mileage,Fuel Type
Hyundai Santa Fe Santa Fe 2.2 CRDI Vertex 4WD Automatic,"CHF 37,700",07.2020,"67,900 km",Diesel
Opel Insignia Insignia 1.6 Turbo Cosmo Automatic,"CHF 13,900",04.2016,"82,500 km",Petrol
Hyundai Tucson Tucson 1.6 TGDI HEV Vertex 4WD,"CHF 35,500",07.2021,"70,100 km",Petrol/Electric
Opel Agila Agila 1.0 Enjoy,"CHF 5,500",04.2010,"127,300 km",Petrol
BMW 520 520d xDrive Steptronic,"CHF 28,000",04.2019,"86,700 km",Diesel
Hyundai Santa Fe Santa Fe 2.2 CRDI Vertex 4WD Automatic,"CHF 44,500",09.2021,"31,900 km",Diesel
Hyundai Kona Kona 1.6 T-GDi Iron Man Edition 4WD DCT,"CHF 24,500",06.2019,"65,000 km",Petrol
Opel Crossland Crossland X 1.2i Excellence,"CHF 14,700",05.2019,"32,500 km",Petrol
Hyundai Tucson Tucson 1.6 TGDI Vertex 4WD DCT,"CHF 25,750",11.2018,"56,000 km",Petrol
Chevrolet Nubira Nubira 1.6 16V SE,"CHF 1,200",05.2009,"58,710 km",Petrol
Suzuki SX4 S-Cross SX4 S-Cross 1.6 16V GL 4WD,"CHF 14,900",11.2014,"28,000 km",Petrol
VW Sharan Sharan 1.9 TDI Highline 4Motion,"CHF 8,450",12.2008,"148,700 km",Diesel
BMW X5 X5 xDrive45e Steptronic,"CHF 56,900",01.2020,"79,500 km",Petrol/Electric
BMW X5 X5 xDrive 48V 40d M Sport Steptronic,"CHF 69,900",03.2022,"71,500 km",Diesel/Electric
BMW 120 120d xDrive Steptronic Sport Line,"CHF 33,900",12.2023,"24,000 km",Diesel
Hyundai IONIQ Ioniq 5 72kWh First Edition 4WD,"CHF 34,900",12.2021,"31,500 km",Electric
BMW X3 X3 xDrive 20d Steptronic,"CHF 14,900",05.2016,"202,900 km",Diesel
BMW X1 X1 xDrive 25e Steptronic,"CHF 31,900",09.2021,"54,300 km",Petrol/Electric
BMW i3 i3 (120Ah),"CHF 20,900",07.2020,"22,500 km",Electric
Cupra Formentor Formentor 2.0TSI VZ  DSG,CHF 1,06.2023,"16,900 km",Petrol
Cupra Ateca ATECA SWISS FR 4DRIVE,CHF 1,01.2020,"65,299 km",Petrol
Cupra Ateca Ateca 1.5 TSI EVO DSG Style,CHF 1,06.2023,"20,900 km",Petrol
Cupra Ateca Ateca 2.0 TSI FR 4Drive DSG,CHF 1,02.2023,"18,900 km",Petrol
Cupra Ateca ATECA 4DRIVE XCELLENCE STOPP - START,CHF 1,01.2017,"117,000 km",Diesel
BMW X3 X3 xDrive M40i Steptronic,CHF 1,12.2018,"37,000 km",Petrol
Audi Q3 Q3 Sportback 35 TFSI Attraction S-tronic,CHF 1,01.2023,"14,000 km",Petrol
Audi Q3 Q3 45 TFSI S line quattro S-tronic,CHF 1,05.2019,"62,000 km",Petrol
Audi Q2 Q2 40 TFSI Sport quattro S-tronic,CHF 1,12.2019,"105,000 km",Petrol
Audi e-tron e-tron 50 Sportback Advanced quattro,CHF 1,07.2020,"50,500 km",Electric
Audi e-tron e-tron 55 Advanced quattro,CHF 1,03.2019,"96,000 km",Electric
Audi e-tron e-tron 55 Advanced quattro,CHF 1,12.2019,"50,100 km",Electric
Audi e-tron e-tron 50 S Line quattro,CHF 1,11.2020,"56,800 km",Electric
Audi e-tron e-tron 50 S Line quattro,CHF 1,03.2021,"42,000 km",Electric
Audi e-tron e-tron 50 Advanced quattro,CHF 1,09.2020,"64,000 km",Electric
Audi e-tron e-tron 50 Advanced quattro,CHF 1,12.2019,"59,900 km",Electric
Audi A5 A5 Coupé 2.0 TFSI quattro S-tronic,CHF 1,05.2016,"53,800 km",Petrol
Audi A3 A3 Sportback 1.4 TFSI Ambition S-tronic,CHF 1,04.2016,"58,100 km",Petrol
BMW 520 520d xDrive 48V Touring Steptronic,"CHF 48,900",12.2023,"25,800 km",Diesel/Electric
BMW X3 X3 M40i,"CHF 79,900",04.2024,"11,700 km",Petrol/Electric
Mini Cooper SD Cooper S,"CHF 33,900",09.2023,"14,900 km",Petrol
Tesla MODEL 3 Model 3 Long Range Dual Motor AWD,"CHF 29,900",09.2021,"45,500 km",Electric
Hyundai Kona Kona EV Vertex,"CHF 32,500",03.2022,"29,300 km",Electric
BMW 325 325i,"CHF 9,990",02.2003,"105,000 km",Petrol
Renault Clio Clio 1.6 T RS 220 Trophy EDC,"CHF 16,000",08.2015,"94,000 km",Petrol
Toyota Yaris Yaris 1.8 GRMN Limited Edition,"CHF 22,500",03.2018,"52,665 km",Petrol
Ford Torino Torino,"CHF 29,690",04.1969,"9,800 km",Petrol
Fiat 500 500 0.9 Twinair Turbo Riva,"CHF 13,500",04.2017,"86,000 km",Petrol
Seat Alhambra Alhambra 2.0 TDI Hola FR 4Drive,"CHF 39,910",01.2021,"74,000 km",Diesel
Seat Ibiza Ibiza 1.0 EcoTSI Reference,"CHF 14,900",12.2019,"36,400 km",Petrol
Mercedes-Benz A 220 A 220 AMG Line 7G-DCT 4Matic,"CHF 28,800",11.2020,"64,500 km",Petrol
Mercedes-Benz A 250 A 250 AMG Line 4Matic 7G-DCT,"CHF 11,900",11.2014,"186,000 km",Petrol
BMW X5 X5 xDrive 40d Steptronic,"CHF 11,500",10.2011,"218,000 km",Diesel
Land Rover Range Rover Velar Range Rover Velar R-Dynamic D 300 SE Automatic,"CHF 44,900",08.2019,"80,000 km",Diesel
Audi S6 S6,"CHF 52,000",04.2021,"70,000 km",Diesel
Audi S3 S3 quattro,"CHF 9,850",06.2002,"177,000 km",Petrol
Audi A5 A5 Sportback 2.0 TDI Design S-tronic,"CHF 32,480",04.2019,"49,900 km",Diesel
BMW X3 X3 xDrive 30e,"CHF 58,900",03.2023,"17,100 km",Petrol/Electric
Opel Combo Combo Life XL 1.5 Innovation Automat,"CHF 17,900",06.2019,"95,500 km",Diesel
VW Tiguan Tiguan 2.0TSI Sound 4Motion DSG,"CHF 23,890",03.2018,"95,000 km",Petrol
BMW 320 320d xDrive 48V Touring Steptronic,"CHF 33,800",03.2023,"49,900 km",Diesel/Electric
Audi A8 A8 55 TFSI quattro tiptronic,"CHF 41,900",01.2018,"148,818 km",Petrol/Electric
VW T5 T5 2.0 TDI BMT 4Motion,"CHF 21,550",08.2011,"143,400 km",Diesel
Mercedes-Benz EQC 400 EQC 400 4Matic EQ Star,"CHF 37,990",08.2021,"45,000 km",Electric
Volvo XC60 XC60 T6 eAWD R-Design Geartronic,"CHF 39,900",10.2021,"75,550 km",Petrol/Electric
Peugeot 3008 3008 1.5 BlueHDi Allure EAT,"CHF 17,900",08.2020,"97,600 km",Diesel
BMW M135 M135i xDrive M Sport Pro Steptronic,"CHF 47,900",12.2022,"22,000 km",Petrol
Mazda CX-5 CX-5 2.2 D HP Revolution AWD Automatic,"CHF 16,900",04.2017,"98,000 km",Diesel
Mercedes-Benz E 300 E 300 e AMG Line 9G-Tronic,"CHF 44,800",03.2021,"77,400 km",Petrol/Electric
Land Rover Defender Defender 90 2.2 TD4 Station Wagon Autobiography,"CHF 56,500",02.2016,"94,000 km",Diesel
Cupra Formentor Formentor 2.0TSI 4Drive Inicio DSG,"CHF 36,400",02.2024,"25,500 km",Petrol
Mercedes-Benz E 63 AMG AMG E 63 S T 4Matic+ Speedshift 9G-TCT,"CHF 78,980",06.2021,"55,000 km",Petrol
Mercedes-Benz GLA 45 AMG GLA 45 S AMG 4Matic+ 8G-Speedshift DCT,"CHF 57,400",09.2020,"28,000 km",Petrol
Mercedes-Benz GLC 63 AMG GLC Coupé 63 S AMG 4Matic+ 9G-Tronic,"CHF 49,900",12.2018,"131,500 km",Petrol
BMW Z4 Z4 M40i Steptronic,"CHF 63,900",04.2023,"25,500 km",Petrol
Audi RS6 RS6 Avant 4.0 TFSI V8 quattro,"CHF 89,900",02.2021,"66,000 km",Petrol/Electric
BMW X3 X3 xDrive 48V 20d,"CHF 58,900",04.2024,"10,700 km",Diesel
BMW X1 X1 xDrive 30e M Sport,"CHF 43,900",07.2023,"24,090 km",Petrol/Electric
Mazda 2 2 SKYACTIV-G 90 Revolution Automat,"CHF 18,499",03.2021,"36,096 km",Petrol
Fiat 500 500 0.9 Twinair Turbo S,"CHF 7,900",08.2014,"47,000 km",Petrol
Morgan Plus 8 Plus 8 4.0,"CHF 69,800",07.2003,"55,000 km",Petrol
Ford Focus Focus 1.5 TDCi Trend+ Automatic,"CHF 14,900",12.2019,"77,736 km",Diesel
VW Touran Touran 1.6 FSI Trendline,"CHF 1,900",05.2006,"225,000 km",Petrol
KIA Sorento Sorento 2.5 CRDI Carat,"CHF 4,800",02.2004,"245,879 km",Diesel
Renault Scénic Scénic 1.6 dCi Bose Edition,"CHF 3,900",09.2013,"220,000 km",Diesel
VW LT - Serie LT 35 2.8TDI,"CHF 2,900",05.1998,"222,998 km",Diesel
BMW X3 X3 xDrive 20d Steptronic,"CHF 12,900",02.2013,"146,500 km",Diesel
Mazda 2 2 1.3i 16V Exclusive,"CHF 1,800",08.2008,"191,400 km",Petrol
Mercedes-Benz GLA 200 GLA 200d AMG Line 8G-DCT,"CHF 31,900",09.2020,"70,000 km",Diesel
Ford Fiesta Fiesta 1.4 16V Trend,"CHF 1,850",05.2007,"165,871 km",Petrol
Suzuki SX4 SX4 1.6 16V GL Top 4WD,"CHF 4,300",02.2011,"218,147 km",Petrol
BMW X3 X3 xDrive 30d Steptronic,"CHF 6,400",09.2012,"220,000 km",Diesel
KIA Sportage Sportage 1.6 T-GDi Power 2020 4WD Automat,"CHF 22,000",05.2020,"18,796 km",Petrol
Mazda MX-5 MX-5 1.8i-16 Youngster,"CHF 5,900",10.2000,"132,500 km",Petrol
Toyota Hi-ace Hiace D-4D 4WD Kombi,"CHF 5,999",08.2005,"234,000 km",Diesel
Hyundai iX35 iX 35 2.0 Comfort 4WD,"CHF 6,999",06.2011,"118,938 km",Petrol
Ford Kuga Kuga 1.5 SCTi Titanium 2WD,"CHF 14,500",06.2015,"54,500 km",Petrol
Opel Crossland Crossland X 1.2i TP Enjoy,"CHF 9,900",12.2018,"58,000 km",Petrol
Skoda Octavia Octavia Combi 2.0 TDI Ambition 4x4 DSG,"CHF 19,500",08.2019,"80,000 km",Diesel
Opel Adam Adam 1.4 ecoFLEX SLAM,"CHF 6,900",08.2013,"110,000 km",Petrol
Toyota Yaris Yaris 1.33 Linea Sol Premium,"CHF 4,999",06.2010,"156,000 km",Petrol
Mercedes-Benz A 160 A 160 Leader Autotronic,"CHF 6,990",11.2012,"100,000 km",Petrol
Mercedes-Benz GLE 43 AMG GLE 43 AMG 4Matic 9G-Tronic,"CHF 34,700",12.2017,"144,800 km",Petrol
Ford S-Max S-Max 2.0 TDCi Titanium AWD PowerShift,"CHF 23,900",07.2016,"78,800 km",Diesel
BMW X5 X5 xDrive 48V 40d M Sport Steptronic,"CHF 49,999",09.2020,"122,000 km",Diesel/Electric
BMW X5 X5 xDrive 48V M60i M Sport Pro Steptronic,"CHF 104,800",05.2023,"5,100 km",Petrol/Electric
Renault Austral Austral 1.3 MHEV 160 Techno Esprit Alpine A,"CHF 41,850",06.2024,"2,000 km",Petrol/Electric
Mercedes-Benz GLC 300 GLC 300 e 4Matic 9G-Tronic,"CHF 72,900",12.2023,"11,000 km",Petrol/Electric
Toyota Land Cruiser LandCr. 300 3.0 TD LX,"CHF 5,499",05.1999,"295,000 km",Diesel
Subaru Impreza Impreza 2.0R,"CHF 2,900",12.2005,"201,000 km",Petrol
Dacia Logan Logan 1.6,CHF 999,01.2012,"162,000 km",Petrol
Toyota Yaris Verso Yaris Verso 1.3 Linea Luna,"CHF 1,499",10.2001,"154,000 km",Petrol
Mercedes-Benz E 250 E 250 CDI BlueEfficiency Automatic,"CHF 4,490",07.2009,"349,600 km",Diesel
Ford Fiesta Fiesta 1.4 16V Ambiente,"CHF 1,000",07.2008,"161,000 km",Petrol
Peugeot 207 207 SW 1.6 HDI Outdoor,"CHF 3,400",01.2011,"180,000 km",Diesel
BMW 520 520i,"CHF 9,999",07.2000,"93,800 km",Petrol
Peugeot 5008 5008 1.6 16V T Sport Pack Automatic,"CHF 3,999",08.2011,"155,347 km",Petrol
Hyundai i10 i10 1.2 Style,"CHF 1,000",02.2010,"163,000 km",Petrol
Chevrolet Aveo Aveo 1.2 LS a/c,"CHF 3,500",05.2010,"185,800 km",Petrol
Renault Scénic Scénic 1.6 dCi Bose,"CHF 4,300",09.2015,"212,000 km",Diesel
VW Golf Golf 1.4 TSI GTE DSG,"CHF 19,500",02.2017,"57,000 km",Petrol
VW e-Golf e-Golf,"CHF 19,000",12.2019,"74,900 km",Electric
Volvo XC90 XC90 2.5T AWD,"CHF 2,900",03.2004,"222,270 km",Petrol
Audi A6 Allroad A6 allroad 3.0 TDI V6 quattro S-tronic,"CHF 8,250",02.2013,"248,000 km",Diesel
Opel Corsa Corsa 1.2 TP,"CHF 4,999",09.2016,"151,000 km",Petrol
VW Polo Polo 1.6 16V Young&Fresh,"CHF 1,700",10.2008,"208,000 km",Petrol
Ford Focus Focus 2.0 TDCi Titanium PowerShift,"CHF 1,800",08.2008,"231,200 km",Diesel
BMW X1 X1 xDrive 25d Sport Line Steptronic,"CHF 12,999",05.2016,"215,000 km",Diesel
Nissan Pulsar Pulsar 1.5 dCi visia,"CHF 4,500",03.2015,"243,000 km",Diesel
Ssang Yong Tivoli Tivoli 1.6 eXDi Crystal 4WD Automatic,"CHF 8,900",12.2015,"73,500 km",Diesel
Mercedes-Benz G 63 AMG G 63 AMG 4x4 Speedshift Plus G-Tronic,"CHF 198,000",02.2023,"11,900 km",Petrol
Peugeot 207 207 CC 1.6 16V Turbo Sport,"CHF 3,999",04.2007,"145,000 km",Petrol
Opel Mokka Mokka 1.4i 16V Turbo Enjoy 4WD,"CHF 6,800",03.2014,"78,450 km",Petrol
Opel Movano Movano 2.5 CDTI 3.5t,"CHF 6,900",08.2006,"153,000 km",Diesel
Opel Astra Astra 1.4i 16V Turbo Sport,"CHF 3,800",02.2015,"331,888 km",Petrol
Hyundai i10 i10 1.0 Origo,"CHF 6,999",02.2017,"78,000 km",Petrol
Mazda CX-5 CX-5 2.0 Ambition FWD,"CHF 14,900",12.2016,"56,391 km",Petrol
Peugeot 208 208 1.2 VTI Active,"CHF 3,600",08.2014,"129,000 km",Petrol
VW Polo Polo 1.4 16V Comfortline,"CHF 5,999",09.2009,"169,900 km",Petrol
Audi Q3 Q3 Sportback 40 TDI Attraction quattro S-tronic,"CHF 32,900",08.2021,"82,000 km",Diesel
Mercedes-Benz Sprinter Sprinter 316 CDI Lang Automat,"CHF 8,999",01.2009,"205,200 km",Diesel
Renault Koleos Koleos 2.0 dCi Dynamique 4x4,"CHF 4,500",05.2012,"271,000 km",Diesel
Renault Kangoo Kangoo 1.6 16V Expression Automatic,"CHF 6,999",04.2012,"172,000 km",Petrol
Subaru XV XV 2.0 Swiss Plus AWD Lineartronic,"CHF 17,900",02.2018,"68,600 km",Petrol
Opel Corsa Corsa 1.4 TP Enjoy,"CHF 3,900",03.2011,"138,000 km",Petrol
Citroen C-Crosser C-Crosser 2.2 HDi VTR,"CHF 3,400",02.2009,"255,964 km",Diesel
Mini Cooper Cooper,"CHF 5,500",04.2011,"159,000 km",Petrol
Seat Ibiza Ibiza 1.4 TDI Ecomotive,"CHF 3,490",02.2010,"199,500 km",Diesel
Chevrolet Aveo Aveo 1.2 LS a/c,"CHF 2,000",09.2008,"161,500 km",Petrol
Mercedes-Benz GLC 300 GLC 300 AMG Line 4Matic 9G-Tronic,"CHF 41,900",12.2019,"70,400 km",Petrol/Electric
Mercedes-Benz GLE 350 GLE 350 d 4Matic AMG Line 9G-Tronic,"CHF 61,900",06.2020,"38,100 km",Diesel
Jeep Cherokee Cherokee 2.0TD Limited AWD 9ATX,"CHF 4,999",12.2014,"173,000 km",Diesel
Ford Focus Focus 1.0 SCTi Sync Edition Automatic,"CHF 8,900",11.2015,"127,000 km",Petrol
Audi S5 S5 Sportback 3.0 TFSI quattro S-tronic,"CHF 16,900",10.2010,"114,000 km",Petrol
Renault Grand Scénic Grand Scénic 1.5 dCi Expression EDC,"CHF 2,500",12.2011,"105,000 km",Diesel
Skoda Octavia Octavia Combi 2.0 TDI Clever DSG,"CHF 13,900",03.2019,"147,000 km",Diesel
BMW X5 X5 xDrive 40d Steptronic,"CHF 25,900",05.2015,"149,000 km",Diesel
Peugeot Partner Partner 1.6 e-HDI Urban Pack,"CHF 8,900",01.2013,"129,000 km",Diesel
Peugeot 308 308 SW 1.5 BlueHDI Tech Edition EAT8,"CHF 6,500",05.2019,"170,000 km",Diesel
Jaguar S-Type S-Type 4.2 V8 Executive,CHF 500,09.2003,"246,000 km",Petrol
Mini Clubman Clubman Cooper S,"CHF 2,900",01.2010,"182,476 km",Petrol
Fiat Bravo Bravo 1.4 16V Turbo Dynamic,"CHF 2,300",09.2013,"221,448 km",Petrol
Opel Meriva Meriva 1.7 CDTi Enjoy Automatic,"CHF 6,700",03.2011,"79,100 km",Diesel
Audi A3 A3 Sportback 1.8 Turbo FSI Attraction,"CHF 2,999",02.2008,"245,000 km",Petrol
VW Passat Passat Variant 2.0T FSI Comfortline,"CHF 1,800",04.2006,"208,000 km",Petrol
Mini Countryman Countryman John Cooper Works ALL4 Snowhill,"CHF 12,500",11.2015,"125,300 km",Petrol
Skoda Kodiaq Kodiaq 2.0 TSI 4x4 Style,"CHF 39,990",12.2023,"11,300 km",Petrol
Audi A3 A3 Sportback 1.4 e-tron Ambition S-tronic,"CHF 12,900",07.2015,"159,000 km",Petrol/Electric
Audi S3 S3 2.0 TFSI quattro,"CHF 5,800",11.2008,"212,012 km",Petrol
Ford Puma Puma 1.0 MHEV Titanium X Automat,"CHF 28,500",07.2024,"2,357 km",Petrol/Electric
Audi A3 A3 Sportback 2.0 TDI Ambiente quattro S-tronic,"CHF 16,999",11.2015,"110,000 km",Diesel
VW Polo Polo 1.2 TSI Highline DSG,"CHF 8,499",05.2012,"103,500 km",Petrol
Jeep Compass Compass 1.4 Turbo Limited AWD 9ATX,"CHF 25,800",10.2020,"28,573 km",Petrol
Tesla Model S Model S 85 Performance,"CHF 13,980",01.2015,"165,000 km",Electric
Jeep Compass Compass 2.2 CRD Sport,"CHF 4,900",04.2013,"197,540 km",Diesel
Peugeot 108 108 1.0 VTi  Active ETG,"CHF 8,200",11.2018,"37,400 km",Petrol
Lamborghini Aventador Aventador S LP740-4 Coupé E-Gear,"CHF 369,500",06.2017,"14,520 km",Petrol
Saab 9-3 9-3 2.0 BioPower Linear,"CHF 1,200",08.2008,"257,185 km",Bioethanol
Mitsubishi Space Star Space Star 1.0 Pure,"CHF 6,900",09.2019,"34,000 km",Petrol
Jeep Grand Cherokee Grand Cherokee 6.4 V8 HEMI SRT8 Automatic,"CHF 37,900",03.2017,"123,650 km",Petrol
Alfa Romeo Giulia Giulia 2.0 Veloce Q4,"CHF 42,800",01.2023,"18,580 km",Petrol
Volvo V40 V40 D2 Momentum,"CHF 11,800",06.2014,"113,000 km",Diesel
Renault Mégane Mégane Coupé 1.6 16V Dynamique,"CHF 4,999",10.2009,"90,000 km",Petrol
VW Sharan Sharan 2.0 TDI BMT Allstar 4Motion DSG,"CHF 26,700",08.2016,"98,000 km",Diesel
Maserati Grecale Grecale  3.0 Trofeo Automatica,"CHF 102,900",12.2022,"26,500 km",Petrol
Skoda Octavia Octavia 1.5 G-tec Style CNG,"CHF 8,600",02.2020,"192,000 km",Natural gas/petrol
Mercedes-Benz A 45 AMG A 45 AMG 4Matic Speedshift 7G-DCT,"CHF 26,800",11.2015,"100,000 km",Petrol
VW Polo Polo 1.2 TSI BMT Comfortline DSG,"CHF 8,800",05.2016,"100,000 km",Petrol
BMW 420 420d Cabriolet Steptronic M Sport,"CHF 32,900",04.2020,"95,000 km",Diesel
Seat Leon Leon 1.4 TSI FR,"CHF 12,750",11.2014,"124,800 km",Petrol
Suzuki SX4 S-Cross SX4 S-Cross 1.6 TD Compact Top 4WD TCSS,"CHF 17,900",04.2017,"67,400 km",Diesel
Volvo V60 V60 D5 AWD R-Design Geartronic,"CHF 15,800",12.2012,"124,400 km",Diesel
Mitsubishi Outlander Outlander 2.2 DID Diamond 4WD Automatic,"CHF 22,900",01.2016,"58,000 km",Diesel
Audi A1 A1 1.4 TFSI Ambition S-tronic,"CHF 10,900",01.2013,"98,000 km",Petrol
VW Sharan Sharan 2.0 TDI BMT Trendline 4Motion,"CHF 11,540",11.2014,"173,000 km",Diesel
Citroen C3 C3 1.2i Exclusive ETG5,"CHF 7,500",07.2014,"75,269 km",Petrol
Mercedes-Benz Vito Vito 114 BlueTEC L 7G-Tronic Euro 6,"CHF 17,800",08.2018,"115,800 km",Diesel
Fiat 500L 500L 0.9 Twinair turbo Lounge,"CHF 6,900",05.2014,"102,000 km",Petrol
Seat Leon Leon ST 2.0 TDI CR Style DSG,"CHF 14,980",03.2019,"90,000 km",Diesel
Skoda Octavia Octavia Combi 1.8 TSI Style 4x4 DSG,"CHF 15,900",01.2017,"113,000 km",Petrol
Hyundai Kona Kona 1.6 GDi HEV Amplia DCT,"CHF 34,990",08.2024,300 km,Petrol/Electric
Peugeot 2008 2008 1.2 PureTech Active,"CHF 6,280",12.2016,"111,000 km",Petrol
VW Tiguan Tiguan 2.0 TDI SCR Comfortline 4Motion DSG,"CHF 16,900",07.2019,"192,000 km",Diesel
Fiat 124 Spider 124 Spider 1.4 TB Abarth Automatic,"CHF 21,900",11.2016,"65,000 km",Petrol
BMW M5 M5 Drivelogic,"CHF 46,900",02.2014,"114,500 km",Petrol
Lotus Exige Exige S,"CHF 68,500",04.2014,"30,500 km",Petrol
Skoda Octavia Octavia Combi 1.6 TDI Soleil 4x4,"CHF 9,999",09.2019,"165,000 km",Diesel
Skoda Octavia Octavia 1.5 G-tec Style CNG,"CHF 12,300",02.2020,"87,000 km",Natural gas/petrol
Skoda Octavia Octavia 1.5 G-tec Style CNG,"CHF 9,500",02.2020,"155,000 km",Natural gas/petrol
Skoda Octavia Octavia 1.5 G-tec Style CNG,"CHF 8,980",02.2020,"175,000 km",Natural gas/petrol
Skoda Octavia Octavia Combi 2.0 TDI Soleil 4x4 DSG,"CHF 14,990",01.2020,"164,000 km",Diesel
Citroen Jumper Jumper 30 2.0 HDi 130 Attraction L1H1,"CHF 12,900",06.2017,"144,000 km",Diesel
Mini One One,"CHF 9,900",08.2013,"87,000 km",Petrol
BMW 318 318d 48V Touring Steptronic,"CHF 18,500",11.2020,"135,000 km",Diesel/Electric
Alfa Romeo Giulia Giulia 2.0 Veloce Q4 AT8,"CHF 50,900",05.2024,"9,250 km",Petrol
Peugeot 206 206+ 1.4 Trendy,"CHF 3,900",11.2010,"123,000 km",Petrol
VW T6 T6 2.0 TDI Euro 6,"CHF 24,200",08.2019,"105,900 km",Diesel
Ferrari Testarossa Testarossa,"CHF 145,000",07.1991,"39,990 km",Petrol
VW Golf Golf 1.5 TSI EVO Edition 45 DSG,"CHF 19,700",11.2019,"107,500 km",Petrol
VW Golf Golf 1.5 TSI EVO Highline DSG,"CHF 18,400",11.2018,"94,000 km",Petrol
VW T6.1 T6.1 2.0 TDI,"CHF 26,300",10.2021,"89,000 km",Diesel
VW Tiguan Tiguan Allspace 2.0 TDI SCR Highline 4Motion DSG,"CHF 24,800",10.2018,"137,000 km",Diesel
VW Tiguan Tiguan 2.0TSI Highline 4Motion DSG,"CHF 31,300",07.2019,"93,000 km",Petrol
VW Tiguan Tiguan 2.0TSI Highline 4Motion DSG,"CHF 26,300",07.2018,"57,000 km",Petrol
VW Tiguan Tiguan 2.0 TDI SCR Highline 4Motion DSG,"CHF 22,200",01.2017,"105,000 km",Diesel
VW T6.1 T6.1 2.0 TDI,"CHF 24,500",03.2020,"124,500 km",Diesel
Peugeot 508 508 SW 2.0 BlueHDi GT EAT6,"CHF 13,200",11.2016,"98,260 km",Diesel
Hyundai i20 i20 1.0 T-GDi GO,"CHF 13,000",07.2016,"29,476 km",Petrol
VW Crafter Crafter 35 2.0 TDI L4,"CHF 31,700",09.2019,"91,500 km",Diesel
VW T6 T6 2.0 TDI Euro 6,"CHF 28,299",03.2019,"69,500 km",Diesel
Seat Ibiza Ibiza SC 1.4 TSI FR Viva,"CHF 6,490",10.2015,"132,000 km",Petrol
Mercedes-Benz V 250 V 250 d Swiss Edition lang 4Matic 7G-Tronic,"CHF 39,900",06.2019,"174,000 km",Diesel
Toyota Yaris Yaris 1.6 GR Sport,"CHF 32,900",10.2022,"4,599 km",Petrol
VW Golf Golf 1800 Carat,"CHF 4,200",05.1986,"89,000 km",Petrol
Jeep Grand Cherokee Grand Cherokee 3.6 V6 Limited Automatic,"CHF 29,000",10.2019,"39,211 km",Petrol
BMW 135 135i Cabrio DSG,"CHF 9,500",05.2012,"202,000 km",Petrol
VW  GOLF,"CHF 3,500",05.2004,"96,000 km",8630 (ZH)
Fiat Punto Punto 1.2 MyStyle,"CHF 6,500",01.2017,"39,000 km",Petrol
VW Fox Fox 1.2,"CHF 2,800",07.2010,"106,500 km",Petrol
Alfa Romeo Stelvio Stelvio 2.0 Veloce Q4 Automatic,"CHF 32,900",10.2021,"76,900 km",Petrol
VW Golf Golf 1.9 TDI PD Last Edition,"CHF 5,666",10.2004,"193,000 km",Diesel
Mercedes-Benz CLA 45 AMG CLA 45 S AMG 4Matic+ 8G-DCT,"CHF 58,900",02.2021,"45,500 km",Petrol
Opel Meriva Meriva 1.4 TP,"CHF 10,195",11.2011,"19,000 km",Petrol
Peugeot 404 Pinifarina Injektion,"CHF 39,000",03.1965,"29,000 km",4103 (BL)
Skoda Octavia Octavia Combi 1.8 TSI Elegance 4x4 DSG,"CHF 13,000",04.2014,"75,400 km",Petrol
Jeep Compass Compass 2.0CRD Limited AWD 9ATX,"CHF 11,500",03.2018,"128,300 km",Diesel
Audi A3 A3 Sportback 1.2 TFSI Ambition,"CHF 4,999",10.2013,"194,300 km",Petrol
Mercedes-Benz E 220 E 220 CDI BlueEfficiency Elégance Automatic,"CHF 7,900",02.2010,"185,000 km",Diesel
Audi Q3 Q3 40 TFSI S line quattro S-tronic,"CHF 34,800",08.2021,"9,670 km",Petrol
Peugeot 308 308 SW 1.5 BlueHDI Allure Pack EAT8,"CHF 14,900",08.2021,"25,067 km",Diesel
Ford Fiesta Fiesta 1.0 SCTi MHEV ST Line Automat,"CHF 19,800",08.2022,"18,000 km",Petrol/Electric
Mercedes-Benz AMG-GT AMG GT 4 43 4Matic+ Speedshift TCT,"CHF 74,990",05.2019,"72,500 km",Petrol/Electric
Citroen C3 C3 1.2i PureTech Feel,"CHF 9,850",08.2019,"48,250 km",Petrol
BMW 430 430d Coupé xDrive Luxury Line Steptronic,"CHF 21,900",12.2014,"120,400 km",Diesel
Mazda CX-30 CX-30 SKYACTIV-X 186 M Hybrid AWD Revolution Autom,"CHF 29,800",09.2021,"16,200 km",Petrol/Electric
Suzuki Baleno Baleno 1.6 16V GLX 4WD,CHF 500,03.1999,"198,000 km",Petrol
Skoda Superb Superb 2.0 TDi Ambition DSG,"CHF 6,900",08.2013,"158,000 km",Diesel
Mercedes-Benz GLK 250 GLK 250 BlueTEC 4Matic 7G-Tronic,"CHF 19,800",07.2014,"145,900 km",Diesel
Audi S4 S4 Avant 3.0 TFSI quattro S-tronic,"CHF 14,900",05.2012,"185,000 km",Petrol
Renault Koleos Koleos 2.0 dCi Initiale Paris 4WD Xtronic CVT,"CHF 27,900",03.2022,"55,000 km",Diesel
Mercedes-Benz V 250 V 250 d lang Avantgarde 4Matic G-Tronic,"CHF 63,700",06.2023,"54,000 km",Diesel
Fiat Ducato Ducato 17 3.0 MJ,"CHF 17,900",01.2013,"90,000 km",Diesel
