Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,round
11.0,Georgia GODWIN,AUS,4.8,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.766,2022,AAfinal
32.0,Georgia GODWIN,AUS,4.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2022,qual
5.0,Georgia GODWIN,AUS,4.8,8.5,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2022,AAfinal
1.0,Georgia GODWIN,AUS,4.0,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.766,2022,final
4.0,Georgia GODWIN,AUS,4.0,8.8,0.1,0.0,0.0,0.0,0.0,0.0,12.7,2022,qual
60.0,Eilidh GORRELL,GBR,3.2,7.85,0.0,0.0,0.0,0.0,0.0,0.0,11.05,2022,qual
9.0,Alexa GRANDE,ESA,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2023,AAfinal
12.0,Alexa GRANDE,ESA,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2023,qual
7.0,Alexa GRANDE,ESA,3.4,8.65,0.0,0.0,0.0,0.0,0.0,0.0,12.05,2023,final
8.0,Alexa GRANDE,ESA,3.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
40.0,Shanna Kae GRANT,GBR,3.6,8.35,0.3,0.0,0.0,0.0,0.0,0.0,12.25,2022,qual
80.0,Magdalena GRYGIEL,POL,3.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2023,qual
46.0,Hildur GUDMUNDSDOTTIR,ISL,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2023,qual
124.0,Hildur Maja GUDMUNDSDOTTIR,ISL,3.6,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.066,2022,qual
94.0,Hildur Maja GUDMUNDSDOTTIR,ISL,3.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,11.766,2022,qual
17.0,Samira Gahramanova,AZE,3.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.4,2022,qual
17.0,Samira Gahramanova,AZE,3.4,8.533,0.0,0.0,0.0,0.0,0.0,0.0,11.933,2022,qual
13.0,Samira Gahramanova,AZE,3.8,8.1,0.0,0.0,0.0,0.0,0.0,0.0,11.9,2022,qual
13.0,Samira Gahramanova,AZE,3.4,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.866,2022,qual
8.0,Samira Gahramanova,AZE,3.4,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.033,2022,qual
8.0,Samira Gahramanova,AZE,3.4,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.033,2022,final
8.0,Samira Gahramanova,AZE,3.8,7.466,0.0,0.0,0.0,0.0,0.0,0.0,11.266,2022,final
8.0,Samira Gahramanova,AZE,3.8,8.433,0.0,0.0,0.0,0.0,0.0,0.0,12.233,2022,qual
1.0,Valentina Georgieva,BUL,4.6,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.566,2022,qual
7.0,Valentina Georgieva,BUL,4.6,7.666,0.1,0.0,0.0,0.0,0.0,0.0,12.166,2022,final
7.0,Valentina Georgieva,BUL,4.4,8.8,0.1,0.0,0.0,0.0,0.0,0.0,13.1,2022,final
1.0,Valentina Georgieva,BUL,4.4,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.266,2022,qual
1.0,Georgia Godwin,AUS,5.0,9.033,0.0,0.0,0.0,0.0,0.0,0.0,14.033,2023,qual
1.0,Georgia Godwin,AUS,5.0,9.066,0.0,0.0,0.0,0.0,0.0,0.0,14.066,2023,final
1.0,Georgia Godwin,AUS,4.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2023,final
1.0,Georgia Godwin,AUS,4.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2023,qual
1.0,Georgia Godwin,AUS,4.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,2023,final
1.0,Georgia Godwin,AUS,4.8,8.9,0.1,0.0,0.0,0.0,0.0,0.0,13.6,2023,qual
1.0,Georgia Godwin,AUS,4.0,8.7,0.1,0.0,0.0,0.0,0.0,0.0,12.6,2023,final
1.0,Georgia Godwin,AUS,4.0,8.867,0.3,0.0,0.0,0.0,0.0,0.0,12.567,2023,qual
17.0,Lilli HABISREUTINGER,SUI,4.0,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.566,2022,qual
31.0,Lilli Leanne HABISREUTINGER,SUI,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
141.0,Selma HALVORSEN,NOR,4.2,7.666,0.3,0.0,0.0,0.0,0.0,0.0,11.566,2022,qual
29.0,Selma HALVORSEN,NOR,3.4,8.233,0.0,0.0,0.0,0.0,0.0,0.0,11.633,2022,qual
17.0,Sihem HAMIDI,ALG,3.8,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.333,2023,qual
17.0,Sihem HAMIDI,ALG,3.4,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.866,2023,qual
20.0,Ameera HARIADI,INA,3.6,7.866,0.3,0.0,0.0,0.0,0.0,0.0,11.166,2023,qual
20.0,Ameera HARIADI,INA,3.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,11.766,2023,qual
15.0,Ameera HARIADI,INA,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2023,qual
15.0,Ameera HARIADI,INA,3.2,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.666,2023,qual
8.0,Daria Angelina HARTMANN,SUI,3.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,12.4,2023,qual
8.0,Daria Angelina HARTMANN,SUI,3.4,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.166,2023,qual
4.0,Chiaki HATAKEDA,JPN,4.6,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.56,2023,qual
83.0,Ada HAUTALA,FIN,4.2,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.733,2022,qual
52.0,Ada HAUTALA,FIN,4.2,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.733,2022,qual
58.0,Ada HAUTALA,FIN,4.2,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.833,2023,qual
13.0,Carolann HEDUIT,FRA,5.0,8.533,0.1,0.0,0.0,0.0,0.0,0.0,13.433,2022,AAfinal
13.0,Carolann HEDUIT,FRA,5.0,9.033,0.0,0.0,0.0,0.0,0.0,0.0,14.033,2022,qual
6.0,Carolann HEDUIT,FRA,5.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.8,2022,qual
10.0,Carolann HEDUIT,FRA,5.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.8,2022,TeamFinal
113.0,Jane HEFFERNAN,IRL,3.4,8.333,0.1,0.0,0.0,0.0,0.0,0.0,11.633,2023,qual
23.0,Tommera HENDRICKS,GBR,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,qual
3.0,Hillary HERON,PAN,5.4,8.366,0.0,0.0,0.0,0.0,0.0,0.0,13.766,2023,final
4.0,Hillary HERON,PAN,5.4,8.233,0.3,0.0,0.0,0.0,0.0,0.0,13.333,2023,qual
3.0,Hillary HERON,PAN,5.0,8.433,0.0,0.0,0.0,0.0,0.0,0.0,13.433,2023,final
4.0,Hillary HERON,PAN,4.2,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.933,2023,qual
1.0,Hillary HERON SOTO,PAN,5.0,8.45,0.0,0.0,0.0,0.0,0.0,0.0,13.45,2023,AAfinal
2.0,Hillary HERON SOTO,PAN,5.0,8.95,0.0,0.0,0.0,0.0,0.0,0.0,13.95,2023,qual
5.0,Hillary HERON SOTO,PAN,4.6,7.45,0.3,0.0,0.0,0.0,0.0,0.0,11.75,2023,final
5.0,Hillary HERON SOTO,PAN,4.2,8.55,0.1,0.0,0.0,0.0,0.0,0.0,12.65,2023,qual
12.0,Lana HERRERA,PAN,4.2,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.833,2023,qual
12.0,Lana HERRERA,PAN,3.8,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.266,2023,qual
8.0,Lana HERRERA RODRIGUEZ,PAN,4.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,12.85,2023,qual
77.0,Blathnaid HIGGINS,IRL,4.2,8.2,0.1,0.0,0.0,0.0,0.0,0.0,12.3,2022,qual
49.0,Halle HILTON,IRL,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2022,qual
20.0,Halle HILTON,GBR,4.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,12.85,2022,qual
49.0,Halle HILTON,IRL,4.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,12.766,2022,qual
60.0,Halle HILTON,IRL,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2023,qual
69.0,Aneta HOLASOVA,CZE,4.6,8.3,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
46.0,Aneta HOLASOVA,CZE,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2022,qual
57.0,Lucija HRIBAR,SLO,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
39.0,Lucija HRIBAR,SLO,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
27.0,Lucija HRIBAR,SLO,4.2,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2023,qual
62.0,Yelyzaveta HUBAREVA,UKR,4.2,8.366,0.0,0.0,0.0,0.0,0.0,0.0,12.566,2022,qual
65.0,Yelyzaveta HUBAREVA,UKR,4.2,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.733,2023,qual
6.0,Selma Halvorsen,NOR,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2022,final
6.0,Selma Halvorsen,NOR,4.2,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.666,2022,qual
6.0,Selma Halvorsen,NOR,3.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2022,final
6.0,Selma Halvorsen,NOR,3.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2022,qual
12.0,Selma Halvorsen,none,4.2,8.433,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2023,qual
12.0,Selma Halvorsen,none,3.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
7.0,Sihem Hamidi,ALG,3.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.1,2022,final
7.0,Sihem Hamidi,ALG,3.6,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.133,2022,qual
7.0,Sihem Hamidi,ALG,3.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2022,final
7.0,Sihem Hamidi,ALG,3.4,7.666,0.0,0.0,0.0,0.0,0.0,0.0,11.066,2022,qual
8.0,Nisrine Hassanaine,MAR,3.6,8.266,0.0,0.0,0.0,0.0,0.0,0.0,11.866,2022,final
8.0,Nisrine Hassanaine,MAR,3.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,2022,qual
8.0,Nisrine Hassanaine,MAR,3.2,7.5,0.1,0.0,0.0,0.0,0.0,0.0,10.6,2022,final
8.0,Nisrine Hassanaine,MAR,3.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2022,qual
52.0,Rifda IRFANALUTHFI,INA,4.2,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2022,qual
5.0,Rifda IRFANALUTHFI,INA,4.2,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.033,2023,final
3.0,Rifda IRFANALUTHFI,INA,4.2,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2023,qual
5.0,Rifda IRFANALUTHFI,INA,3.8,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.566,2023,final
3.0,Rifda IRFANALUTHFI,INA,3.8,8.866,0.0,0.0,0.0,0.0,0.0,0.0,12.666,2023,qual
4.0,Rifda IRFANALUTHFI,INA,4.2,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2023,final
6.0,Rifda IRFANALUTHFI,INA,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2023,qual
4.0,Rifda IRFANALUTHFI,INA,4.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2023,final
6.0,Rifda IRFANALUTHFI,INA,4.0,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2023,qual
72.0,Sara JACOBSEN,DEN,4.2,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.666,2023,qual
65.0,Natalie JENSEN,DEN,4.2,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.733,2023,qual
11.0,Natalie JENSEN,DEN,3.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.4,2023,qual
27.0,Melanie JESUS SANTOS,FRA,5.0,8.766,0.1,0.0,0.0,0.0,0.0,0.0,13.666,2022,qual
3.0,Shilese JONES,USA,5.0,9.333,0.1,0.0,0.0,0.0,0.0,0.0,14.233,2022,AAfinal
12.0,Shilese JONES,USA,5.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,14.2,2022,qual
19.0,Gulnaz JUMABEKOVA,UZB,4.2,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2023,qual
6.0,Gulnaz JUMABEKOVA,UZB,3.6,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.333,2023,final
10.0,Gulnaz JUMABEKOVA,UZB,3.6,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.266,2023,qual
6.0,Gulnaz JUMABEKOVA,UZB,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2023,final
4.0,Gulnaz JUMABEKOVA,UZB,4.2,8.733,0.0,0.0,0.0,0.0,0.0,0.0,12.933,2023,qual
4.0,Gulnaz JUMABEKOVA,UZB,3.6,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.266,2023,qual
12.0,Gulnaz JUMABEKOVA,UZB,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2023,qual
12.0,Gulnaz JUMABEKOVA,UZB,3.6,8.5,0.1,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
15.0,Katrina JUREVICA,LAT,4.2,8.633,0.1,0.0,0.0,0.0,0.0,0.0,12.733,2023,qual
15.0,Katrina JUREVICA,LAT,3.6,7.433,0.0,0.0,0.0,0.0,0.0,0.0,11.033,2023,qual
10.0,Katrina JUREVICA,LAT,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2023,qual
10.0,Katrina JUREVICA,LAT,3.6,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.266,2023,qual
69.0,Katrina JUREVICA,LAT,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2023,qual
16.0,Katrina JUREVICA,LAT,3.6,7.566,0.0,0.0,0.0,0.0,0.0,0.0,11.166,2023,qual
10.0,Gulnaz Jumabekova,UZB,3.6,7.466,0.0,0.0,0.0,0.0,0.0,0.0,11.066,2022,qual
10.0,Gulnaz Jumabekova,UZB,3.8,7.233,0.1,0.0,0.0,0.0,0.0,0.0,10.933,2022,qual
9.0,Katrina Jurevica,none,4.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2023,qual
9.0,Katrina Jurevica,none,3.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2023,qual
55.0,Julia KACZMAREK,GBR,3.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,11.7,2022,qual
108.0,Radoslava KALAMAROVA,SVK,3.2,8.333,0.0,0.0,0.0,0.0,0.0,0.0,11.533,2022,qual
43.0,Amaya Sithumini KALUKOTTAGE,SRI,3.4,7.766,0.0,0.0,0.0,0.0,0.0,0.0,11.16,2023,qual
85.0,Mari KANTER,NOR,3.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2023,qual
85.0,Yuliia KASIANENKO,UKR,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2022,qual
57.0,Yuliia KASIANENKO,UKR,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2022,qual
131.0,Elvira KATSALI,GRE,3.2,8.633,0.0,0.0,0.0,0.0,0.0,0.0,11.833,2022,qual
94.0,Elvira KATSALI,GRE,3.2,8.566,0.0,0.0,0.0,0.0,0.0,0.0,11.766,2022,qual
130.0,Sevgi KAYISOGLU,TUR,3.6,8.266,0.0,0.0,0.0,0.0,0.0,0.0,11.866,2022,qual
85.0,Sevgi KAYISOGLU,TUR,3.6,8.466,0.0,0.0,0.0,0.0,0.0,0.0,12.066,2022,qual
96.0,Sevgi KAYISOGLU,TUR,3.6,8.433,0.0,0.0,0.0,0.0,0.0,0.0,12.033,2023,qual
52.0,Olivia KELLY,BAR,4.2,8.866,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2022,qual
4.0,Cara KENNEDY,GBR,4.2,8.65,0.0,0.0,0.0,0.0,0.0,0.0,12.85,2022,final
8.0,Cara KENNEDY,GBR,4.2,8.95,0.0,0.0,0.0,0.0,0.0,0.0,13.15,2022,qual
4.0,Cara KENNEDY,GBR,3.8,8.75,0.0,0.0,0.0,0.0,0.0,0.0,12.55,2022,final
8.0,Cara KENNEDY,GBR,3.8,8.85,0.0,0.0,0.0,0.0,0.0,0.0,12.65,2022,qual
14.0,Cara KENNEDY,SCO,4.6,7.6,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2022,AAfinal
6.0,Cara KENNEDY,SCO,3.8,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.4,2022,final
8.0,Cara KENNEDY,SCO,3.8,8.6,0.3,0.0,0.0,0.0,0.0,0.0,12.1,2022,qual
140.0,Ominakhon KHALILOVA,UZB,3.4,8.2,0.0,0.0,0.0,0.0,0.0,0.0,11.6,2022,qual
13.0,Amina KHALIMARDEN,KAZ,3.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2023,qual
13.0,Amina KHALIMARDEN,KAZ,3.4,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.033,2023,qual
85.0,Selina KICKINGER,AUT,4.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.7,2022,qual
52.0,Selina KICKINGER,AUT,4.2,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.733,2022,qual
15.0,Selina KICKINGER,AUT,4.2,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2023,AAfinal
21.0,Selina KICKINGER,AUT,4.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2023,qual
7.0,Seohyeon KIM,KOR,4.2,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.16,2023,qual
5.0,Seohyeon KIM,KOR,3.8,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.566,2023,final
5.0,Seohyeon KIM,KOR,3.8,8.8,0.1,0.0,0.0,0.0,0.0,0.0,12.5,2023,qual
31.0,Sara KING,SLO,3.4,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.03,2023,qual
6.0,Alice KINSELLA,GBR,5.0,9.166,0.0,0.0,0.0,0.0,0.0,0.0,14.166,2022,AAfinal
9.0,Alice KINSELLA,GBR,5.0,9.266,0.0,0.0,0.0,0.0,0.0,0.0,14.266,2022,qual
4.0,Alice KINSELLA,GBR,5.0,8.05,0.3,0.0,0.0,0.0,0.0,0.0,13.35,2022,qual
12.0,Alice KINSELLA,GBR,5.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2022,qual
13.0,Alice KINSELLA,GBR,5.0,8.466,0.0,0.0,0.0,0.0,0.0,0.0,13.466,2022,TeamFinal
9.0,Alice KINSELLA,GBR,5.0,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.833,2023,qual
2.0,Alice KINSELLA,ENG,5.0,8.85,0.0,0.0,0.0,0.0,0.0,0.0,13.85,2022,AAfinal
74.0,Christina KIOSI,GRE,3.8,8.6,0.1,0.0,0.0,0.0,0.0,0.0,12.3,2022,qual
17.0,Christina KIOSI,GRE,3.8,7.566,0.3,0.0,0.0,0.0,0.0,0.0,11.066,2023,qual
17.0,Christina KIOSI,GRE,3.8,8.633,0.0,0.0,0.0,0.0,0.0,0.0,12.433,2023,qual
73.0,Christina KIOSI,GRE,3.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2023,qual
64.0,Anna Lena KOENIG,GER,4.4,8.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
29.0,Anna Lena KOENIG,GER,4.4,8.766,0.0,0.0,0.0,0.0,0.0,0.0,13.166,2023,qual
52.0,Tijana KORENT,CRO,4.2,8.533,0.0,0.0,0.0,0.0,0.0,0.0,12.733,2022,qual
16.0,Tijana KORENT,CRO,4.2,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2022,qual
1.0,Tijana KORENT,CRO,4.0,8.9,0.1,0.0,0.0,0.0,0.0,0.0,12.8,2023,final
1.0,Tijana KORENT,CRO,4.0,8.933,0.0,0.0,0.0,0.0,0.0,0.0,12.933,2023,qual
1.0,Tijana KORENT,CRO,4.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2023,final
1.0,Tijana KORENT,CRO,4.2,9.066,0.0,0.0,0.0,0.0,0.0,0.0,13.266,2023,qual
40.0,Zsofia KOVACS,HUN,4.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2022,qual
3.0,Zsofia KOVACS,HUN,5.0,9.066,0.0,0.0,0.0,0.0,0.0,0.0,14.066,2022,qual
2.0,Zsofia KOVACS,HUN,5.0,9.266,0.0,0.0,0.0,0.0,0.0,0.0,14.266,2022,TeamFinal
1.0,Zsofia KOVACS,HUN,4.6,9.066,0.0,0.0,0.0,0.0,0.0,0.0,13.666,2022,final
1.0,Zsofia KOVACS,HUN,4.6,8.966,0.0,0.0,0.0,0.0,0.0,0.0,13.566,2022,qual
2.0,Zsofia KOVACS,HUN,5.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,14.1,2023,AAfinal
3.0,Zsofia KOVACS,HUN,5.0,9.166,0.0,0.0,0.0,0.0,0.0,0.0,14.166,2023,qual
117.0,Marharyta KOZLOVSKA,UKR,3.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2022,qual
114.0,Marharyta KOZLOVSKA,UKR,3.2,8.433,0.3,0.0,0.0,0.0,0.0,0.0,11.333,2022,qual
103.0,Margret KRISTINSDOTTIR,ISL,3.6,8.366,0.1,0.0,0.0,0.0,0.0,0.0,11.866,2023,qual
115.0,Margret Lea KRISTINSDOTTIR,ISL,3.0,8.333,0.0,0.0,0.0,0.0,0.0,0.0,11.333,2022,qual
14.0,Veronika KRITSKI,GBR,4.2,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2022,qual
14.0,Veronika KRITSKI,GBR,3.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2022,qual
61.0,Carina KROELL,AUT,3.8,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.566,2022,qual
94.0,Ilona KRUPA,UKR,3.8,8.433,0.1,0.0,0.0,0.0,0.0,0.0,12.133,2023,qual
136.0,Nika KUKULJAN FRLETA,CRO,3.0,8.666,0.0,0.0,0.0,0.0,0.0,0.0,11.666,2022,qual
98.0,Nika KUKULJAN FRLETA,CRO,3.2,8.466,0.0,0.0,0.0,0.0,0.0,0.0,11.666,2022,qual
105.0,Nika KUKULJAN FRLETA,CRO,3.2,8.633,0.0,0.0,0.0,0.0,0.0,0.0,11.833,2023,qual
113.0,Emilia KULCZYNSKA,POL,3.8,7.566,0.0,0.0,0.0,0.0,0.0,0.0,11.366,2022,qual
16.0,Emilia KULCZYNSKA,POL,3.8,8.4,0.1,0.0,0.0,0.0,0.0,0.0,12.1,2023,qual
16.0,Emilia KULCZYNSKA,POL,3.4,8.633,0.1,0.0,0.0,0.0,0.0,0.0,11.933,2023,qual
12.0,Meta KUNAVER,SLO,3.8,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.3,2023,qual
12.0,Meta KUNAVER,SLO,3.8,8.433,0.0,0.0,0.0,0.0,0.0,0.0,12.233,2023,qual
35.0,Meta KUNAVER,SLO,3.8,8.3,0.1,0.0,0.0,0.0,0.0,0.0,12.0,2023,qual
13.0,Meta KUNAVER,SLO,3.8,8.833,0.0,0.0,0.0,0.0,0.0,0.0,12.633,2023,qual
107.0,Meta KUNAVER,SLO,3.8,8.133,0.1,0.0,0.0,0.0,0.0,0.0,11.833,2023,qual
18.0,Hima KUSUMOTO,JPN,5.0,8.3,0.3,0.0,0.0,0.0,0.0,0.0,13.0,2023,qual
18.0,Hima KUSUMOTO,JPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,qual
12.0,Maisa KUUSIKKO,FIN,4.6,9.0,0.1,0.0,0.0,0.0,0.0,0.0,13.5,2022,AAfinal
44.0,Maisa KUUSIKKO,FIN,4.6,8.733,0.1,0.0,0.0,0.0,0.0,0.0,13.233,2022,qual
23.0,Maisa KUUSIKKO,FIN,4.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,2022,qual
17.0,Maisa KUUSIKKO,FIN,4.6,8.733,0.0,0.0,0.0,0.0,0.0,0.0,13.333,2022,qual
17.0,Maisa KUUSIKKO,FIN,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2023,AAfinal
34.0,Maisa KUUSIKKO,FIN,4.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,13.1,2023,qual
26.0,Tjasa KYSSELEF,SLO,4.6,8.533,0.0,0.0,0.0,0.0,0.0,0.0,13.133,2022,qual
14.0,Tjasa KYSSELEF,SLO,4.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,12.6,2022,qual
4.0,Tijana Korent,CRO,4.0,8.866,0.0,0.0,0.0,0.0,0.0,0.0,12.866,2023,final
2.0,Tijana Korent,CRO,4.0,8.833,0.0,0.0,0.0,0.0,0.0,0.0,12.833,2023,qual
4.0,Tijana Korent,CRO,4.2,9.033,0.0,0.0,0.0,0.0,0.0,0.0,13.233,2023,final
2.0,Tijana Korent,CRO,4.2,8.766,0.0,0.0,0.0,0.0,0.0,0.0,12.966,2023,qual
6.0,Maisa Kuusikko,FIN,4.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2022,qual
5.0,Maisa Kuusikko,FIN,4.6,8.466,0.0,0.0,0.0,0.0,0.0,0.0,13.066,2022,final
5.0,Maisa Kuusikko,FIN,4.2,8.566,0.3,0.0,0.0,0.0,0.0,0.0,12.466,2022,final
6.0,Maisa Kuusikko,FIN,4.2,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.866,2022,qual
8.0,Tjasa Kysselef,SLO,4.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2022,final
5.0,Tjasa Kysselef,SLO,4.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,13.4,2022,qual
8.0,Tjasa Kysselef,SLO,4.2,7.533,0.0,0.0,0.0,0.0,0.0,0.0,11.733,2022,final
5.0,Tjasa Kysselef,SLO,4.2,8.833,0.0,0.0,0.0,0.0,0.0,0.0,13.033,2022,qual
4.0,Tjasa Kysselef,SLO,4.2,8.533,0.1,0.0,0.0,0.0,0.0,0.0,12.633,2022,qual
1.0,Tjasa Kysselef,SLO,4.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,13.3,2022,final
4.0,Tjasa Kysselef,SLO,4.2,8.666,0.0,0.0,0.0,0.0,0.0,0.0,12.866,2022,qual
