Rank,Athlete,Nation,VT,UB,BB,FX,AA,round,year
181,angel wong hiu ying,HKG,0,0,11.8,0,11.8,qual,2023
182,jana mahmoud,EGY,0,11.533,0,0,11.533,qual,2023
183,malla montell,FIN,0,11.5,0,0,11.5,qual,2023
184,elvira katsali,GRE,0,0,0,11.166,11.166,qual,2023
185,shanté koti,RSA,0,0,11.133,0,11.133,qual,2023
186,zarith imaan khalid,MAS,0,10.933,0,0,10.933,qual,2023
187,samira gahramanova,AZE,0,0,0,10.8,10.8,qual,2023
188,ameera hariadi,INA,0,10.533,0,0,10.533,qual,2023
189,derin tanriyasükür,none,0,10.466,0,0,10.466,qual,2023
190,tran doan quynh nam,VIE,0,0,0,9.733,9.733,qual,2023
1,simone biles,USA,15.1,14.333,14.433,14.533,58.399,final,2023
2,rebeca andrade,BRA,14.7,14.5,13.5,14.066,56.766,final,2023
3,shilese jones,USA,14.233,14.633,14.066,13.4,56.332,final,2023
4,qiu qiyuan,CHN,13.2,14.7,13.733,13.166,54.799,final,2023
5,alice d’amato,ITA,13.933,14.666,13.166,12.5,54.265,final,2023
6,eythora thorsdottir,NED,13.833,13.433,13.566,13.266,54.098,final,2023
7,alice kinsella,none,13.766,13.6,13.433,13.233,54.032,final,2023
8,kaylia nemour,ALG,12.766,15.2,13.3,12.7,53.966,final,2023
9,manila esposito,ITA,13.766,14.166,12.866,13.1,53.898,final,2023
10,mélanie de jesus dos santos,FRA,14.066,12.5,13.466,13.833,53.865,final,2023
11,kishi rina,JPN,13.8,12.966,13.533,12.9,53.199,final,2023
12,naomi visser,NED,13.133,14.266,12.2,13.533,53.132,final,2023
13,ondine achampong,none,14.133,12.533,13.6,12.7,52.966,final,2023
14,morgane osyssek,FRA,13.2,13.1,13.366,13.133,52.799,final,2023
15,flavia saraiva,BRA,13.833,12.633,14.033,12.2,52.699,final,2023
16,ellie black,CAN,14,12.133,12.933,12.9,51.966,final,2023
17,hatakeda chiaki,JPN,12.966,13.166,13.133,12.6,51.865,final,2023
18,alexa moreno,MEX,13.966,12.966,12.6,12.233,51.765,final,2023
19,lee yunseo,SKR,12.733,13.766,12.333,12.9,51.732,final,2023
20,georgia godwin,AUS,13.6,13.5,12.266,12.333,51.699,final,2023
21,filipa martins,POR,12.866,13.433,12.566,12.733,51.598,final,2023
22,sarah voss,none,13.4,10.9,13.166,13.333,50.799,final,2023
23,ana barbosu,ROU,13.366,11.666,13.533,11.6,50.165,final,2023
24,pauline schäfer,none,12.733,12.933,13.566,10.7,49.932,final,2023
1,lexi zeiss,none,13.45,13.5,13.1,13.15,53.2,final,2023
2,ashlee sullivan,none,13.6,12.6,13.2,13.35,52.75,final,2023
3,nola matthews,none,13.25,13.45,12.7,13.2,52.6,final,2023
4,zoe miller,none,13.65,13.9,12.55,12.4,52.5,final,2023
5,elle mueller,none,13.65,13.4,12.2,13,52.25,final,2023
6,joscelyn roberson,none,14,10.85,13.3,13.55,51.7,final,2023
7,jordis eichman,none,13.05,12.9,12.95,12.5,51.4,final,2023
8,charlotte booth,none,13.55,13.75,12.05,11.75,51.1,final,2023
9,kaliya lincoln,none,13.5,12.95,11,13.6,51.05,final,2023
10,addison fatta,none,13.9,12.95,10.8,13.1,50.75,final,2023
10,katelyn rosen,none,13.6,12.55,11.9,12.7,50.75,final,2023
12,dulcy caylor,none,13.4,13.35,11.95,11.85,50.55,final,2023
13,alicia zhou,none,12.9,12.85,12.1,12.55,50.4,final,2023
14,amelia disidore,none,13.85,11.3,11.8,13.2,50.15,final,2023
15,eveylynn lowe,none,13.1,11.4,11.95,12.9,49.35,final,2023
16,michelle pineda,none,13.05,11.5,11.65,12.85,49.05,final,2023
17,katelyn jong,none,13.5,12.2,10.5,12.7,48.9,final,2023
18,brynn torry,none,14.1,13.1,9.2,11.85,48.25,final,2023
19,levi jung-ruivivar,none,13.5,11.65,10.85,12,48,final,2023
20,christiane popovich,none,12.75,12.05,10.6,12.3,47.7,final,2023
21,marissa neal,none,13.35,10.85,11.6,11.35,47.15,final,2023
22,kelise woolford,none,12.8,11.5,11.55,10.95,46.8,final,2023
23,brooke pierson,none,12.9,11.6,9.8,12.05,46.35,final,2023
24,amari drayton,none,13.2,11.85,9.65,11.5,46.2,final,2023
25,malea milton,none,13,11.4,11.25,10.45,46.1,final,2023
26,annalisa milton,none,13,9.4,12.2,11.45,46.05,final,2023
27,chloe cho,none,12.9,12,9.4,11.4,45.7,final,2023
28,norah christian,none,11.9,11.2,10.4,11.45,44.95,final,2023
29,gabriella van frayen,none,12.95,0,11.3,12.1,36.35,final,2023
30,myli lew,none,12.95,13.65,0,0,26.6,final,2023
31,skye blakely,none,0,13.15,13.4,0,26.5,final,2023
32,tiana sumanasekera,none,0,12.9,12.6,0,25.5,final,2023
33,gabby disidore,none,0,9.35,0,0,9.35,final,2023
