Rank,FX,PH,SR,VT,PB,HB,AA,Nation,year,Name,round_final,round_qual
,0.0,14.933,0.0,0.0,0.0,0.0,14.933,Ireland,2023,316,False,True
,0.0,14.9,0.0,0.0,0.0,0.0,14.9,Jordan,2023,9,False,True
,0.0,0.0,14.9,0.0,0.0,0.0,14.9,Greece,2023,100,False,True
,0.0,0.0,14.666,0.0,0.0,0.0,14.666,Azerbaijan,2023,282,False,True
,0.0,0.0,0.0,14.633,0.0,0.0,14.633,Kong,2023,341,False,True
,0.0,14.6,0.0,0.0,0.0,0.0,14.6,Armenia,2023,140,False,True
,0.0,0.0,14.6,0.0,0.0,0.0,14.6,Austria,2023,386,False,True
,0.0,0.0,14.433,0.0,0.0,0.0,14.433,Armenia,2023,33,False,True
,0.0,0.0,14.433,0.0,0.0,0.0,14.433,Armenia,2023,381,False,True
,0.0,0.0,0.0,0.0,0.0,14.433,14.433,Croatia,2023,368,False,True
,0.0,14.4,0.0,0.0,0.0,0.0,14.4,Australia,2023,385,False,True
,0.0,14.4,0.0,0.0,0.0,0.0,14.4,Albania,2023,249,False,True
,0.0,0.0,0.0,14.233,0.0,0.0,14.233,Taiwan,2023,375,False,True
,0.0,0.0,14.166,0.0,0.0,0.0,14.166,Taiwan,2023,224,False,True
,0.0,14.133,0.0,0.0,0.0,0.0,14.133,Kazakhstan,2023,267,False,True
,14.133,0.0,0.0,0.0,0.0,0.0,14.133,Sweden,2023,117,False,True
,0.0,0.0,0.0,0.0,0.0,13.966,13.966,Australia,2023,376,False,True
,0.0,13.8,0.0,0.0,0.0,0.0,13.8,Czechia,2023,307,False,True
,0.0,13.7,0.0,0.0,0.0,0.0,13.7,Latvia,2023,91,False,True
,0.0,13.633,0.0,0.0,0.0,0.0,13.633,Canada,2023,178,False,True
,0.0,0.0,0.0,0.0,0.0,13.433,13.433,Serbia,2023,164,False,True
,13.333,0.0,0.0,0.0,0.0,0.0,13.333,Portugal,2023,135,False,True
,0.0,13.3,0.0,0.0,0.0,0.0,13.3,Taiwan,2023,343,False,True
,0.0,0.0,0.0,0.0,0.0,13.233,13.233,Cyprus,2023,240,False,True
,0.0,13.133,0.0,0.0,0.0,0.0,13.133,Croatia,2023,118,False,True
,0.0,0.0,0.0,0.0,13.066,0.0,13.066,Luxembourg,2023,306,False,True
,0.0,0.0,13.033,0.0,0.0,0.0,13.033,Cyprus,2023,345,False,True
,0.0,0.0,0.0,0.0,12.933,0.0,12.933,Greece,2023,348,False,True
,0.0,12.533,0.0,0.0,0.0,0.0,12.533,Iceland,2023,79,False,True
,12.5,0.0,0.0,0.0,0.0,0.0,12.5,Sweden,2023,210,False,True
,12.5,0.0,0.0,0.0,0.0,0.0,12.5,Ireland,2023,98,False,True
,0.0,0.0,0.0,11.8,0.0,0.0,11.8,Czechia,2023,292,False,True
,9.566,0.0,0.0,0.0,0.0,0.0,9.566,Finland,2023,14,False,True
1.0,13.466,14.366,14.0,15.0,14.8,14.5,86.132,Japan,2023,141,True,False
2.0,14.0,14.3,13.133,14.333,15.166,14.066,84.998,Ukraine,2023,159,True,False
3.0,14.633,13.733,13.5,14.566,14.6,13.3,84.332,States,2023,123,True,False
4.0,13.966,14.8,13.733,13.666,14.666,12.633,83.464,Japan,2023,66,True,False
5.0,14.366,13.0,12.966,14.233,14.1,14.266,82.931,Kazakhstan,2023,259,True,False
6.0,13.866,13.8,13.3,13.9,13.933,14.033,82.832,Italy,2023,405,True,False
7.0,13.333,12.3,14.266,14.166,14.4,14.233,82.698,China,2023,353,True,False
8.0,13.833,13.566,13.366,14.1,14.766,12.8,82.431,Switzerland,2023,289,True,False
9.0,13.6,13.3,13.566,13.733,14.666,13.466,82.331,Britain,2023,173,True,False
10.0,13.0,13.6,13.066,14.1,14.266,13.8,81.832,Brazil,2023,88,True,False
11.0,14.266,13.5,13.366,14.3,12.533,13.7,81.665,Hungary,2023,215,True,False
12.0,13.566,12.6,13.766,13.7,13.933,13.8,81.365,Canada,2023,315,True,False
13.0,14.5,13.433,12.9,15.433,12.766,12.166,81.198,Britain,2023,169,True,False
14.0,13.433,13.466,12.9,14.233,13.866,13.033,80.931,Switzerland,2023,119,True,False
15.0,13.466,13.433,13.1,14.466,13.2,13.0,80.665,Italy,2023,239,True,False
16.0,11.966,13.033,12.933,13.733,15.4,13.366,80.431,Germany,2023,233,True,False
17.0,14.0,13.266,12.8,14.3,12.933,13.0,80.299,Netherlands,2023,64,True,False
18.0,13.2,13.7,12.4,13.966,13.533,13.366,80.165,Israel,2023,157,True,False
19.0,13.733,12.333,13.833,13.866,14.466,11.833,80.064,States,2023,37,True,False
20.0,13.366,13.3,13.0,14.133,13.833,12.3,79.932,Spain,2023,365,True,False
21.0,13.6,9.666,12.9,14.5,14.2,13.5,78.366,Belgium,2023,232,True,False
22.0,13.8,9.933,13.133,14.533,12.866,14.066,78.331,Türkiye,2023,13,True,False
23.0,13.466,11.933,13.166,14.1,11.733,13.566,77.964,Korea,2023,222,True,False
24.0,12.8,13.5,12.266,13.866,13.166,11.733,77.331,Uzbekistan,2023,205,True,False
1.0,14.4,13.957,14.114,14.25,15.121,13.5,85.342,USA,2023,403,True,False
2.0,14.483,13.357,13.35,14.0,14.45,14.962,84.602,USA,2023,122,True,False
3.0,12.203,12.507,14.133,14.755,14.7,13.65,81.948,USA,2023,36,True,False
4.0,13.6,13.4,13.95,13.7,14.5,12.755,81.905,USA,2023,151,True,False
5.0,13.7,13.25,14.25,13.75,14.05,12.2,81.2,USA,2023,340,True,False
6.0,12.9,12.3,13.953,14.252,13.35,13.45,80.205,USA,2023,319,True,False
7.0,13.75,11.3,13.1,13.7,14.4,13.25,79.5,USA,2023,192,True,False
8.0,12.9,12.902,13.8,13.5,12.45,13.6,79.152,USA,2023,150,True,False
9.0,12.6,13.05,13.15,14.45,13.55,12.1,78.9,USA,2023,257,True,False
10.0,13.4,13.05,11.6,13.95,13.3,13.55,78.85,USA,2023,59,True,False
11.0,13.5,12.8,12.45,12.65,13.8,13.2,78.4,USA,2023,218,True,False
12.0,12.7,12.9,12.15,13.5,13.4,12.9,77.55,USA,2023,83,True,False
13.0,12.3,12.65,13.5,13.0,12.75,12.8,77.0,USA,2023,255,True,False
14.0,13.55,13.4,10.7,14.25,12.95,11.25,76.1,USA,2023,363,True,False
15.0,12.6,11.15,13.2,14.05,13.65,11.45,76.1,USA,2023,179,True,False
16.0,14.114,9.8,12.6,14.302,13.25,11.65,75.716,USA,2023,198,True,False
17.0,11.55,11.3,12.9,13.3,13.35,12.9,75.3,USA,2023,288,True,False
18.0,12.1,10.95,12.85,13.05,13.1,12.6,74.65,USA,2023,251,True,False
19.0,11.1,12.4,12.3,13.9,10.95,12.75,73.4,USA,2023,65,True,False
20.0,12.1,10.2,12.6,11.7,13.75,12.5,72.85,USA,2023,109,True,False
21.0,11.4,10.15,11.35,13.4,13.0,11.65,70.95,USA,2023,320,True,False
22.0,11.05,8.95,12.05,12.25,13.45,11.3,69.05,USA,2023,247,True,False
23.0,11.9,4.65,12.55,13.95,11.75,11.4,66.2,USA,2023,28,True,False
24.0,0.0,12.15,13.4,14.15,13.55,11.55,64.8,USA,2023,162,True,False
25.0,12.15,10.3,12.95,0.0,13.55,9.35,58.3,USA,2023,128,True,False
26.0,0.0,12.15,12.85,0.0,11.4,12.9,49.3,USA,2023,97,True,False
27.0,0.0,11.0,11.65,0.0,11.3,12.65,46.6,USA,2023,254,True,False
28.0,12.9,0.0,14.698,13.552,0.0,0.0,41.15,USA,2023,16,True,False
29.0,13.2,0.0,14.15,0.0,12.6,0.0,39.95,USA,2023,175,True,False
30.0,0.0,0.0,0.0,0.0,15.997,13.7,29.697,USA,2023,77,True,False
31.0,0.0,13.5,0.0,0.0,15.044,0.0,28.544,USA,2023,50,True,False
32.0,13.803,0.0,0.0,14.15,0.0,0.0,27.953,USA,2023,75,True,False
33.0,13.45,0.0,0.0,0.0,13.75,0.0,27.2,USA,2023,346,True,False
34.0,0.0,11.2,0.0,14.802,0.0,0.0,26.002,USA,2023,206,True,False
35.0,13.2,0.0,0.0,0.0,0.0,10.95,24.15,USA,2023,167,True,False
36.0,0.0,15.092,0.0,0.0,0.0,0.0,15.092,USA,2023,349,True,False
37.0,0.0,14.992,0.0,0.0,0.0,0.0,14.992,USA,2023,298,True,False
38.0,0.0,14.972,0.0,0.0,0.0,0.0,14.972,USA,2023,152,True,False
39.0,0.0,14.942,0.0,0.0,0.0,0.0,14.942,USA,2023,154,True,False
40.0,0.0,14.466,0.0,0.0,0.0,0.0,14.466,USA,2023,54,True,False
41.0,0.0,0.0,0.0,13.35,0.0,0.0,13.35,USA,2023,382,True,False
42.0,0.0,0.0,12.711,0.0,0.0,0.0,12.711,USA,2023,374,True,False
