School	Public	Location	Earn	SAT	ACT	Price	Price_with_aid	need_fraction	merit_aided
Northern Arizona University	1	"Flagstaff, AZ"	43900	1050	23	25800	14100	0.44	0.12
Endicott College	0	"Beverly, MA"	44800	1070	23	48300	35900	0.56	0.21
Bridgewater College	0	"Bridgewater, VA"	37300	1030	23	46700	21000	0.81	0.2
Martin Methodist College	0	"Pulaski, TN"	30800	1200	25	35900	25300	0.54	0.09
Drury University	0	"Springfield, MO"	37600	1150	25	37700	22900	0.61	0.16
Loyola University New Orleans	0	"New Orleans, LA"	39400	1140	25	54500	28600	0.68	0.22
Georgia State University	1	"Atlanta, GA"	44800	1070	23	26500	17000	0.58	
California University of Pennsylvania	1	"California, PA"	39400	980	19	26100	18400	0.57	0.03
Framingham State University	1	"Framingham, MA"	42500	1040	22	24100	18600	0.51	0.06
Concordia University-Wisconsin	0	"Mequon, WI"	42700	1030	23	41500	25300	0.75	0.14
Western Kentucky University	1	"Bowling Green, KY"	41600	990	22	19900	12100	0.44	0.13
Cleveland Institute of Art	0	"Cleveland, OH"	42200	1080	23	56500	35400	0.82	0.12
Jackson State University	1	"Jackson, MS"	38900	990	19	22100	11400	0.75	0.03
Berry College	0	"Mount Berry, GA"	37000	1170	27	46200	26600	0.72	0.3
Southeast Missouri State University	1	"Cape Girardeau, MO"	38400	1020	23	20600	12400	0.54	0.17
Goucher College	0	"Baltimore, MD"	39500	1200	25	57600	32500	0.65	0.3
Pennsylvania College of Technology	1	"Williamsport, PA"	49800	1200	25	31900	23400	0.67	
Grand View University	0	"Des Moines, IA"	39000	860	21	36200	19900	0.75	0.15
Eastern Connecticut State University	1	"Willimantic, CT"	43600	1020	22	25400	17500	0.47	0.04
Columbus College of Art and Design	0	"Columbus, OH"	40800	1050	22	44400	28300	0.79	0.18
College for Creative Studies	0	"Detroit, MI"	46200	1150	22	53700	37500		
Roanoke College	0	"Salem, VA"	41300	1090	24	55500	31700	0.72	0.24
Philadelphia University	0	"Philadelphia, PA"	44300	1060	23	53500	32300	0.78	0.16
Northern Michigan University	1	"Marquette, MI"	40300	1110	22	21700	13400	0.41	0.08
Kutztown University of Pennsylvania	1	"Kutztown, PA"	38500	960	20	24800	18700	0.42	0.03
William Paterson University of New Jersey	1	"Wayne, NJ"	41200	1010	19	29000	14400	0.49	0.06
The University of the Arts	0	"Philadelphia, PA"	42000	1010	22	60200	37800		0.33
Virginia Commonwealth University	1	"Richmond, VA"	43700	1110	24	30200	21100	0.45	0.09
Clarion University of Pennsylvania	1	"Clarion, PA"	37200	920	17	23900	16700	0.58	0.02
Emmanuel College-Boston	0	"Boston, MA"	44600	1090	24	54600	35200	0.81	0.18
Florida Southern College	0	"Lakeland, FL"	38900	1090	25	45400	25500	0.69	0.33
Stetson University	0	"DeLand, FL"	39400	1170	26	58000	26400	0.73	0.24
Belmont University	0	"Nashville, TN"	40300	1170	27	47200	33300	0.44	0.21
King's College	0	"Wilkes-Barre, PA"	39400	1130	23	49200	27600	0.8	0.17
Ringling College of Art and Design	0	"Sarasota, FL"	41600	1200	25	61100	49200	0.59	0.19
Point Park University	0	"Pittsburgh, PA"	38700	990	22	42700	24900	0.9	0.07
Alcorn State University	1	"Alcorn State, MS"	39000	880	18	22300	15800	0.58	0.08
Guilford College	0	"Greensboro, NC"	37600	1070	23	49100	28100	0.86	0.18
Maryland Institute College of Art	0	"Baltimore, MD"	40500	1180	24	59400	42800		
Lasell College	0	"Newton, MA"	40300	980	21	49200	29700	0.82	0.16
Seton Hill University	0	"Greensburg, PA"	37900	1030	23	47300	23700	0.84	0.12
Edinboro University of Pennsylvania	1	"Edinboro, PA"	37500	930	20	21900	15100	0.6	0.02
SUNY College of Agriculture and Technology at Cobleskill	1	"Cobleskill, NY"	34400	990	19	24200	15700	0.75	0.03
Roger Williams University	0	"Bristol, RI"	47900	1200	25	52000	39300	0.4	0.12
The New School	0	"New York, NY"	45600	1130	25	64800	46300		
Bennett College	0	"Greensboro, NC"	39601	980	19	32300	23400	0.91	0.01
University of Dubuque	0	"Dubuque, IA"	35300	910	20	39100	23200	0.88	0.1
Arizona Christian University	0	"Phoenix, AZ"	36600	1040	23	37500	29400	0.77	0.09
Arcadia University	0	"Glenside, PA"	36300	1090	25	55700	28700	0.75	0.05
University of Valley Forge	0	"Phoenixville, PA"	34300	970	22	33700	23900	0.85	0.09
Carthage College	0	"Kenosha, WI"	41500	1100	24	52300	29800	0.75	0.22
Winthrop University	1	"Rock Hill, SC"	37800	1030	22	27300	17300	0.66	0.13
Lindsey Wilson College	0	"Columbia, KY"	28300	1040	20	39000	17100	0.92	
Kent State University at Kent	1	"Kent, OH"	40600	1040	23	26600	19700	0.36	0.17
Hope International University	0	"Fullerton, CA"	40000	960	20	42500	24300	0.57	0.02
The University of Tampa	0	"Tampa, FL"	41200	1070	24	41800	29900	0.59	0.3
North Carolina Central University	1	"Durham, NC"	36300	860	18	19600	10600	0.77	0.01
Claflin University	0	"Orangeburg, SC"	36800	880	18	33900	21600	0.87	0.17
Savannah College of Art and Design	0	"Savannah, GA"	40400	1060	24	54700	41400	0.34	0.44
High Point University	0	"High Point, NC"	41000	1090	24	48600	39400		0.08
Oakwood University	0	"Huntsville, AL"	38900	920	20	37200	29400	0.88	
Miles College	0	"Fairfield, AL"	31300	1030	20	23500	18100	0.99	0.01
